,X,player.x,pos.x,age.x,tm.x,g.x,mp.x,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,obpm,dbpm,bpm,vorp,mp.y,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,efgpercent,ftpercent,pts,FGM_0_5,FGA_0_5,FGP_0_5,FGM_5_9,FGA_5_9,FGP_5_9,FGM_10_14,FGA_10_14,FGP_10_14,FGM_15_19,FGA_15_19,FGP_15_19,FGM_20_24,FGA_20_24,FGP_20_24,FGM_25_29,FGA_25_29,FGP_25_29
267,267,Pascal Siakam,PF,23,TOR,81,1679,14.5,0.549,0.265,0.175,5.4,18.6,12.1,13.5,1.8,2,11.1,15.7,2.1,2.5,4.7,0,2.2,2.1,1.7,20.7,3.1,6.1,0.508,0.4,1.6,0.22,2.8,4.5,0.612,0.537,0.621,7.3,2.3,3.3,68.9,0.3,0.9,38.6,0.1,0.3,47.6,0,0,33.3,0.3,1.1,24.2,0.1,0.5,17.1
268,268,Ben Simmons,PG,21,PHI,81,2732,20,0.557,0.011,0.342,5.9,19.5,13,37.4,2.5,2.1,19.5,22.3,4.2,5,9.2,1,3.6,4.6,4.6,33.7,6.7,12.3,0.545,0,0.1,0,6.7,12.2,0.551,0.545,0.56,15.8,5,7.2,69.3,0.9,2.5,37.3,0.6,1.9,31.8,0.2,0.5,34.9,0,0,33.3,0,0,0
269,269,Jonathon Simmons,SG,28,ORL,69,2029,12.7,0.555,0.268,0.317,3.3,9.7,6.5,13.3,1.4,0.6,14.4,22,0.8,1.1,1.9,-1,-1.3,-2.3,-0.2,29.4,5.1,11,0.465,1,3,0.338,4.1,8.1,0.512,0.511,0.768,13.9,2.5,3.9,63.9,0.6,1.6,36.7,0.4,1,36.2,0.6,1.4,41.1,0.5,1.3,39.6,0.6,1.8,33.9
270,270,Kobi Simmons,PG,20,MEM,32,643,7.7,0.49,0.206,0.132,2.5,6.6,4.5,16.5,1.4,0.7,18,17,-0.4,0.2,-0.2,-3.9,-2.1,-6,-0.6,20.1,2.5,5.9,0.423,0.3,1.2,0.282,2.2,4.7,0.46,0.452,1,6.1,1.5,2.3,64,0.2,0.7,28.6,0.3,0.8,38.5,0.1,0.5,17.6,0.2,1,23.3,0.2,0.5,37.5
271,271,Marcus Smart,SG,23,BOS,54,1614,10.8,0.479,0.483,0.258,3,9.8,6.4,23.7,2.2,1.2,18.4,19.4,-0.6,2.5,1.9,-1.6,1.1,-0.5,0.6,29.9,3.5,9.5,0.367,1.4,4.6,0.301,2.1,4.9,0.429,0.44,0.729,10.2,1.1,2.2,51.3,0.3,1,32.7,0.2,0.8,31,0.3,0.6,44.1,0.5,1.5,35.8,1,3.3,29.5
272,272,Dennis Smith,PG,20,DAL,69,2049,12.8,0.473,0.331,0.188,2.6,11.8,7,29.5,1.7,0.8,14.9,28.9,-2.4,1.7,-0.7,-1.5,-0.7,-2.2,-0.1,29.7,5.9,14.8,0.395,1.5,4.9,0.313,4.3,9.9,0.435,0.446,0.694,15.2,3.1,5.5,55.5,0.2,0.8,24.6,0.2,1,18.2,0.5,1.6,30.4,0.9,2.7,35.1,1,3,32.1
273,273,Ish Smith,PG,29,DET,82,2043,15.4,0.525,0.126,0.145,1.4,10.9,6.1,28.4,1.6,0.9,11.2,20.8,2.4,2,4.4,-0.6,-0.6,-1.2,0.4,24.9,4.7,9.8,0.486,0.4,1.2,0.347,4.3,8.5,0.506,0.507,0.698,10.9,2,3.4,58.9,0.5,1.3,40.4,0.7,1.3,50,1,2.2,45.8,0.3,0.9,37.1,0.2,0.6,35.8
274,274,J.R. Smith,SG,32,CLE,80,2244,8.4,0.534,0.64,0.094,1.5,10.1,5.9,8.6,1.5,0.4,11.6,13.8,0.6,0.9,1.4,-0.6,-1,-1.7,0.2,28.1,3,7.4,0.403,1.8,4.8,0.375,1.2,2.7,0.453,0.524,0.696,8.3,0.4,0.8,52.5,0.2,0.4,42.9,0.2,0.4,36.4,0.3,0.6,46,1.2,2.7,45.4,0.8,2.4,31.3
275,275,Tony Snell,SG,26,MIL,75,2053,8.5,0.578,0.631,0.113,0.5,7.5,4,6.5,1.1,1.2,7.5,10.6,1.6,0.7,2.4,-0.5,-1.3,-1.8,0.1,27.4,2.5,5.7,0.435,1.4,3.6,0.403,1,2.1,0.49,0.562,0.792,6.9,0.7,1.1,60.2,0.1,0.3,21.7,0.1,0.2,50,0.1,0.3,45.5,0.7,1.8,39.1,0.8,1.9,40.4
276,276,Marreese Speights,C,30,ORL,52,675,13.7,0.539,0.668,0.158,3.4,18.4,10.8,9.8,0.6,2.6,9.7,26.9,0.1,0.5,0.6,0.2,-2.9,-2.8,-0.1,13,2.7,6.7,0.395,1.7,4.5,0.369,1,2.2,0.448,0.519,0.727,7.7,0.4,0.9,48.8,0.2,0.5,44,0.2,0.4,63.2,0.2,0.5,34.8,0.3,0.7,41.2,1.4,4,35.5
